annotation_file,panel_index,mean_temperature,temperature_standard_deviation,max_temperature,temperature_range,temperature_skewness,temperature_kurtosis,faulty
20180630_154327,1,165.47767118756204,19.143712311709297,188.0,112.0,-1.8321605680851532,3.132373529103619,No
20180630_154327,2,146.53181818181818,20.48327542213135,180.0,110.0,-1.4221398532257976,2.033159831693431,No
20180630_154327,3,152.71325126719768,17.864694762941525,234.0,157.0,-0.13946128741113764,2.7843887743387707,Yes
20180630_154327,4,155.54821958456972,14.341114188838393,176.0,90.0,-1.5827246290999948,3.3032146813031416,No
20180630_154327,5,175.0021299254526,12.331418946211981,233.0,87.0,1.9483583140433447,6.822439128180161,Yes
20180630_154327,6,201.20622083981337,26.35125970814838,229.0,117.0,-1.240354158085977,0.5675846026908755,Yes
20180630_154327,7,150.10251188051595,18.38412123496346,171.0,119.0,-1.9942740481949592,5.026726354689382,No
20180630_154327,8,153.16688227684347,16.604113963103384,176.0,103.0,-1.9376600770197658,4.69372370661571,No
20180630_154327,9,153.46612903225807,15.92347064159297,176.0,94.0,-1.5141807198773123,2.941873633844555,No
20180630_154327,10,138.89476168003776,27.21844178705087,174.0,116.0,-1.1226742166956374,0.36872840075488744,No
20180630_154327,11,149.00144857556737,22.442641042552975,182.0,118.0,-1.55690105960242,2.230396849744281,No
20180630_154327,12,158.60087082728592,13.955623192467469,180.0,91.0,-1.5577269699694827,4.175911766429509,No
20180630_154327,13,159.2742671009772,10.827806330701142,211.0,106.0,-0.7180096522658435,3.617812573925585,Yes
20180630_154327,14,152.140625,26.57623024589942,190.0,128.0,-1.4612138381286675,1.7666433032421045,No
20180630_154327,15,162.65551839464882,10.878089788207168,183.0,50.0,-0.5717315120348292,-0.1649954141697516,No
20180630_154327,16,151.20543672014261,30.162544604223775,183.0,130.0,-1.4273311756062812,1.3217354691745342,No
20180630_154327,17,172.06349206349208,11.30932052170401,183.0,50.0,-1.9600511928599578,3.140350423402124,No
20180630_154327,18,146.94604316546761,31.545081319655957,182.0,128.0,-1.1606809912715452,0.40413322273699226,No
20180630_154327,19,144.45902777777778,31.966297167647358,183.0,120.0,-0.8541259610842687,-0.33101852285617905,No
20180630_154327,20,135.867,29.95001353922899,181.0,110.0,-0.4405531809299124,-0.9071177181381964,No
20180630_154327,21,120.31351351351351,28.17779614809027,172.0,102.0,-0.10728444920530963,-1.1433226191574757,No
20180630_154327,22,99.30666666666667,15.35923030478922,132.0,61.0,0.14211341301581099,-0.813813199912278,No
20180630_154327,23,146.9318669527897,24.582090150577912,178.0,114.0,-1.5950149383673606,1.9495402100429304,No
20180630_154327,24,164.62027123483227,8.567321022659527,181.0,60.0,-0.9758249156256863,1.0046844962626862,No
20180630_154327,25,149.15462686567164,22.28661269591648,176.0,107.0,-1.6647883609790897,2.433516859227109,No
20180630_154327,26,145.25585813806205,21.041330198251668,172.0,112.0,-1.9562497002689225,3.519097258675192,No
20180630_154327,27,151.21463414634147,5.211879534370039,165.0,29.0,-0.2339426394002278,0.2741456382130245,No
20180630_154327,28,155.6248062015504,8.145784385620319,174.0,59.0,-0.9073334723156916,1.837269587395613,No
20180630_154327,29,139.59050339164585,18.63828549847919,175.0,102.0,-0.4632480147857288,-0.24310744544987717,No
20180630_154327,30,152.66411906677394,14.932787730526753,179.0,80.0,-0.9373030293709417,0.5103051857078178,No
